Littlefinger,Oberyn Martell,{'weight': 1}
Littlefinger,Gendry,{'weight': 3}
Littlefinger,Lysa Arryn,{'weight': 3}
Littlefinger,Jory Cassel,{'weight': 3}
Littlefinger,Meera Reed,{'weight': 1}
Littlefinger,Jojen Reed,{'weight': 1}
Littlefinger,Shaggydog,{'weight': 1}
Littlefinger,Red Priestess,{'weight': 2}
Littlefinger,Renly Baratheon,{'weight': 9}
Littlefinger,Maester Wolkan,{'weight': 2}
Littlefinger,Mhaegen,{'weight': 1}
Littlefinger,Stannis Baratheon,{'weight': 12}
Littlefinger,Ramsay Snow/Bolton,{'weight': 7}
Littlefinger,Varys,{'weight': 11}
Littlefinger,Aerys II Targaryen,{'weight': 1}
Littlefinger,Kevan Lannister,{'weight': 1}
Littlefinger,Olyvar,{'weight': 3}
Littlefinger,Roose Bolton,{'weight': 2}
Littlefinger,Podrick Payne,{'weight': 8}
Littlefinger,Randyll Tarly,{'weight': 1}
Littlefinger,Summer,{'weight': 1}
Littlefinger,Tommen Baratheon,{'weight': 5}
Littlefinger,Janos Slynt,{'weight': 3}
Littlefinger,Jon Arryn,{'weight': 5}
Littlefinger,Wildling Rioter,{'weight': 1}
Littlefinger,Mord,{'weight': 2}
Littlefinger,Brandon Stark,{'weight': 1}
Littlefinger,Eddard Stark,{'weight': 11}
Littlefinger,Rhaegar Targaryen,{'weight': 3}
Littlefinger,Jorah Mormont,{'weight': 2}
Littlefinger,Mandon Moore,{'weight': 2}
Littlefinger,Tobho Mott,{'weight': 1}
Littlefinger,Jaime Lannister,{'weight': 16}
Littlefinger,Faceless Man,{'weight': 1}
Littlefinger,Loras Tyrell,{'weight': 10}
Littlefinger,Smalljon Umber,{'weight': 1}
Littlefinger,Brynden Tully,{'weight': 1}
Littlefinger,Matthos Seaworth,{'weight': 1}
Littlefinger,The Mountain,{'weight': 1}
Littlefinger,Illyrio Mopatis,{'weight': 1}
Littlefinger,Bran Stark,{'weight': 7}
Littlefinger,Qyburn,{'weight': 2}
Littlefinger,Olenna Tyrell,{'weight': 5}
Littlefinger,Ned Umber,{'weight': 7}
Littlefinger,Aegon Targaryen,{'weight': 3}
Littlefinger,Robb Stark,{'weight': 9}
Littlefinger,Sansa Stark,{'weight': 27}
Littlefinger,Gilly,{'weight': 1}
Littlefinger,Brienne of Tarth,{'weight': 3}
Littlefinger,Robin Arryn,{'weight': 3}
Littlefinger,Lord Varys,{'weight': 2}
Littlefinger,Dickon Tarly,{'weight': 1}
Littlefinger,Shireen Baratheon,{'weight': 2}
Littlefinger,Beric Dondarrion,{'weight': 2}
Littlefinger,Wun Wun,{'weight': 1}
Littlefinger,Cersei Lannister,{'weight': 24}
Littlefinger,Davos Seaworth,{'weight': 7}
Littlefinger,High Sparrow,{'weight': 3}
Littlefinger,Myranda,{'weight': 1}
Littlefinger,Theon Greyjoy,{'weight': 3}
Littlefinger,Meereen Slave Master,{'weight': 1}
Littlefinger,Tormund Giantsbane,{'weight': 4}
Littlefinger,Hugh of the Vale,{'weight': 2}
Littlefinger,Samwell Tarly,{'weight': 3}
Littlefinger,Salladhor Saan,{'weight': 1}
Littlefinger,Elia Martell,{'weight': 2}
Littlefinger,Khal Drogo,{'weight': 2}
Littlefinger,Drogon,{'weight': 1}
Littlefinger,Rodrik Cassel,{'weight': 2}
Littlefinger,Maester Luwin,{'weight': 1}
Littlefinger,Lancel Lannister,{'weight': 6}
Littlefinger,Septa Mordane,{'weight': 2}
Littlefinger,Daenerys Targaryen,{'weight': 4}
Littlefinger,Ros,{'weight': 7}
Littlefinger,Baby Sam,{'weight': 3}
Littlefinger,Viserion,{'weight': 1}
Littlefinger,Tywin Lannister,{'weight': 10}
Littlefinger,Ellaria Sand,{'weight': 1}
Littlefinger,Rhaegal,{'weight': 1}
Littlefinger,High Septon,{'weight': 3}
Littlefinger,Viserys Targaryen,{'weight': 1}
Littlefinger,Meryn Trant,{'weight': 3}
Littlefinger,Barristan Selmy,{'weight': 6}
Littlefinger,Hodor,{'weight': 1}
Littlefinger,Melisandre,{'weight': 7}
Littlefinger,Mace Tyrell,{'weight': 3}
Littlefinger,Yohn Royce,{'weight': 6}
Littlefinger,Lyanna Mormont,{'weight': 3}
Littlefinger,Tyrion Lannister,{'weight': 15}
Littlefinger,Petyr Baelish,{'weight': 20}
Littlefinger,Syrio Forel,{'weight': 5}
Littlefinger,Robett Glover,{'weight': 2}
Littlefinger,Yoren,{'weight': 1}
Littlefinger,Amory Lorch,{'weight': 1}
Littlefinger,Balon Greyjoy,{'weight': 1}
Littlefinger,Robert Baratheon,{'weight': 10}
Littlefinger,Mag the Mighty,{'weight': 1}
Littlefinger,Shae,{'weight': 5}
Littlefinger,Mance Rayder,{'weight': 1}
Littlefinger,Arya Stark,{'weight': 16}
Littlefinger,Lyanna Stark,{'weight': 4}
Kevan Lannister,Stannis Baratheon,{'weight': 4}
Kevan Lannister,Varys,{'weight': 3}
Kevan Lannister,Tywin Lannister,{'weight': 4}
Kevan Lannister,Myrcella Baratheon,{'weight': 2}
Kevan Lannister,Shagga,{'weight': 1}
Kevan Lannister,Olyvar,{'weight': 1}
Kevan Lannister,Roose Bolton,{'weight': 1}
Kevan Lannister,Eddard Stark,{'weight': 2}
Kevan Lannister,Yara Greyjoy,{'weight': 1}
Kevan Lannister,Jaime Lannister,{'weight': 9}
Kevan Lannister,Tyrion Lannister,{'weight': 5}
Kevan Lannister,Syrio Forel,{'weight': 1}
Kevan Lannister,Bran Stark,{'weight': 2}
Kevan Lannister,Lollys Stokeworth,{'weight': 1}
Kevan Lannister,The Mountain,{'weight': 1}
Kevan Lannister,Margaery Tyrell,{'weight': 2}
Kevan Lannister,Ned Umber,{'weight': 1}
Kevan Lannister,Robb Stark,{'weight': 2}
Kevan Lannister,Cersei Lannister,{'weight': 12}
Kevan Lannister,Septa Unella,{'weight': 4}
Kevan Lannister,Gerold Hightower,{'weight': 1}
Kevan Lannister,Renly Baratheon,{'weight': 2}
Kevan Lannister,Grand Maester Pycelle,{'weight': 6}
Kevan Lannister,Ramsay Snow/Bolton,{'weight': 1}
Kevan Lannister,Daenerys Targaryen,{'weight': 1}
Kevan Lannister,Tommen Baratheon,{'weight': 9}
Kevan Lannister,Rodrik Cassel,{'weight': 1}
Kevan Lannister,Ellaria Sand,{'weight': 1}
Kevan Lannister,High Septon,{'weight': 1}
Kevan Lannister,Barristan Selmy,{'weight': 1}
Kevan Lannister,Loras Tyrell,{'weight': 5}
Kevan Lannister,Mace Tyrell,{'weight': 3}
Kevan Lannister,Qyburn,{'weight': 6}
Kevan Lannister,Olenna Tyrell,{'weight': 3}
Kevan Lannister,Hot Pie,{'weight': 1}
Kevan Lannister,Sansa Stark,{'weight': 3}
Kevan Lannister,Balon Greyjoy,{'weight': 1}
Kevan Lannister,Robin Arryn,{'weight': 1}
Kevan Lannister,Petyr Baelish,{'weight': 2}
Kevan Lannister,Lancel Lannister,{'weight': 6}
Kevan Lannister,Lord Varys,{'weight': 1}
Kevan Lannister,Arya Stark,{'weight': 3}
Kevan Lannister,Arthur,{'weight': 1}
Kevan Lannister,Joffrey Baratheon,{'weight': 3}
Kevan Lannister,Shae,{'weight': 1}
Kevan Lannister,Gregor Clegane,{'weight': 4}
Kevan Lannister,Catelyn Stark,{'weight': 2}
Kevan Lannister,Theon Greyjoy,{'weight': 1}
Kevan Lannister,Bronn,{'weight': 3}
Kevan Lannister,Gendry,{'weight': 1}
Kevan Lannister,High Sparrow,{'weight': 6}
Kevan Lannister,Aerys II Targaryen,{'weight': 1}
Kevan Lannister,Euron Greyjoy,{'weight': 1}
Daisy,Tyrion Lannister,{'weight': 1}
Daisy,Lancel Lannister,{'weight': 1}
Daisy,Robert Baratheon,{'weight': 1}
Daisy,Robb Stark,{'weight': 1}
Daisy,Bronn,{'weight': 1}
Daisy,Ros,{'weight': 1}
Daisy,Meryn Trant,{'weight': 1}
Daisy,Sansa Stark,{'weight': 1}
Daisy,Cersei Lannister,{'weight': 1}
Daisy,Sandor Clegane,{'weight': 1}
Daisy,Joffrey Baratheon,{'weight': 1}
Daisy,Grand Maester Pycelle,{'weight': 1}
Lady Crane,Sansa Stark,{'weight': 2}
Lady Crane,Arya Stark,{'weight': 3}
Lady Crane,Tyrion Lannister,{'weight': 1}
Lady Crane,Joffrey Baratheon,{'weight': 2}
Lady Crane,Bianca,{'weight': 3}
Lady Crane,Cersei Lannister,{'weight': 3}
Lady Crane,Eddard Stark,{'weight': 1}
Lady Crane,The Waif,{'weight': 2}
Lady Crane,Faceless Man,{'weight': 3}
Mycah,Arya Stark,{'weight': 2}
Mycah,Thoros of Myr,{'weight': 1}
Mycah,Joffrey Baratheon,{'weight': 2}
Mycah,Gregor Clegane,{'weight': 1}
Mycah,Gendry,{'weight': 1}
Mycah,Ilyn Payne,{'weight': 1}
Mycah,Nymeria,{'weight': 1}
Mycah,Locke,{'weight': 1}
Mycah,Eddard Stark,{'weight': 2}
Mycah,Ned Umber,{'weight': 1}
Mycah,Sansa Stark,{'weight': 1}
Mycah,Jaime Lannister,{'weight': 1}
Mycah,Bran Stark,{'weight': 1}
Mycah,Aegon Targaryen,{'weight': 1}
Mycah,Brienne of Tarth,{'weight': 1}
Mycah,Beric Dondarrion,{'weight': 1}
Mycah,Cersei Lannister,{'weight': 1}
Mycah,Sandor Clegane,{'weight': 2}
Mycah,Rhaenys Targaryen,{'weight': 1}
Mycah,Elia Martell,{'weight': 1}
Mycah,Tywin Lannister,{'weight': 1}
High Sparrow,Meryn Trant,{'weight': 1}
High Sparrow,Mace Tyrell,{'weight': 4}
High Sparrow,Sansa Stark,{'weight': 1}
High Sparrow,Petyr Baelish,{'weight': 3}
High Sparrow,Lancel Lannister,{'weight': 7}
High Sparrow,Cersei Lannister,{'weight': 13}
High Sparrow,Jaime Lannister,{'weight': 8}
High Sparrow,Stannis Baratheon,{'weight': 1}
High Sparrow,Joffrey Baratheon,{'weight': 1}
High Sparrow,Ramsay Snow/Bolton,{'weight': 1}
High Sparrow,Varys,{'weight': 1}
High Sparrow,Myrcella Baratheon,{'weight': 3}
High Sparrow,Olyvar,{'weight': 2}
High Sparrow,Roose Bolton,{'weight': 1}
High Sparrow,Tommen Baratheon,{'weight': 12}
High Sparrow,Ellaria Sand,{'weight': 1}
High Sparrow,High Septon,{'weight': 3}
High Sparrow,Nymeria,{'weight': 1}
High Sparrow,Loras Tyrell,{'weight': 10}
High Sparrow,Maggy,{'weight': 1}
High Sparrow,Mag the Mighty,{'weight': 1}
High Sparrow,The Mountain,{'weight': 1}
High Sparrow,Margaery Tyrell,{'weight': 4}
High Sparrow,Qyburn,{'weight': 6}
High Sparrow,Olenna Tyrell,{'weight': 7}
High Sparrow,Septa Unella,{'weight': 5}
High Sparrow,Robin Arryn,{'weight': 1}
High Sparrow,Arthur,{'weight': 1}
High Sparrow,Gerold Hightower,{'weight': 1}
High Sparrow,Grand Maester Pycelle,{'weight': 4}
High Sparrow,Gregor Clegane,{'weight': 5}
High Sparrow,Bronn,{'weight': 2}
High Sparrow,Trystane Martell,{'weight': 2}
High Sparrow,Obara Sand,{'weight': 1}
High Sparrow,Walder Frey,{'weight': 1}
Bianca,Sansa Stark,{'weight': 2}
Bianca,Cersei Lannister,{'weight': 3}
Bianca,Faceless Man,{'weight': 3}
Bianca,Joffrey Baratheon,{'weight': 2}
Bianca,Tyrion Lannister,{'weight': 1}
Bianca,Eddard Stark,{'weight': 1}
Bianca,Arya Stark,{'weight': 3}
Bianca,The Waif,{'weight': 2}
Rhaegal,The Night King,{'weight': 2}
Rhaegal,Dany,{'weight': 6}
Rhaegal,Razdal mo Eraz,{'weight': 1}
Rhaegal,Aerys II Targaryen,{'weight': 1}
Rhaegal,Robert Baratheon,{'weight': 3}
Rhaegal,Lyanna Mormont,{'weight': 2}
Rhaegal,Euron Greyjoy,{'weight': 4}
Rhaegal,Myrcella Baratheon,{'weight': 1}
Rhaegal,Brandon Stark,{'weight': 1}
Rhaegal,Eddard Stark,{'weight': 3}
Rhaegal,Jorah Mormont,{'weight': 4}
Rhaegal,Mance Rayder,{'weight': 1}
Rhaegal,Podrick Payne,{'weight': 1}
Rhaegal,Olenna Tyrell,{'weight': 1}
Rhaegal,Jaime Lannister,{'weight': 5}
Rhaegal,Theon Greyjoy,{'weight': 4}
Rhaegal,Bran Stark,{'weight': 5}
Rhaegal,Tormund Giantsbane,{'weight': 1}
Rhaegal,Hizdahr zo Loraq,{'weight': 2}
Rhaegal,Samwell Tarly,{'weight': 3}
Rhaegal,Aegon Targaryen,{'weight': 4}
Rhaegal,Maester Aemon,{'weight': 1}
Rhaegal,Brienne of Tarth,{'weight': 2}
Rhaegal,Dickon Tarly,{'weight': 2}
Rhaegal,Beric Dondarrion,{'weight': 2}
Rhaegal,Lyanna Stark,{'weight': 2}
Rhaegal,Rhaegar Targaryen,{'weight': 3}
Rhaegal,Cersei Lannister,{'weight': 5}
Rhaegal,Davos Seaworth,{'weight': 5}
Rhaegal,Qhono,{'weight': 1}
Rhaegal,Viserion,{'weight': 14}
Rhaegal,Tywin Lannister,{'weight': 5}
Rhaegal,Yara Greyjoy,{'weight': 4}
Rhaegal,Yezzan zo Qaggaz,{'weight': 1}
Rhaegal,Viserys Targaryen,{'weight': 2}
Rhaegal,Jeor Mormont,{'weight': 2}
Rhaegal,Khal Drogo,{'weight': 13}
Rhaegal,Benjen Stark,{'weight': 1}
Rhaegal,Daario Naharis,{'weight': 6}
Rhaegal,Drogon,{'weight': 13}
Rhaegal,Sansa Stark,{'weight': 5}
Rhaegal,Tyrion Lannister,{'weight': 10}
Rhaegal,Meereen Slave Master,{'weight': 6}
Rhaegal,Daenerys Targaryen,{'weight': 16}
Rhaegal,Grey Worm,{'weight': 10}
Rhaegal,Baby Sam,{'weight': 3}
Rhaegal,Melisandre,{'weight': 3}
Rhaegal,Ellaria Sand,{'weight': 2}
Rhaegal,Barristan Selmy,{'weight': 2}
Rhaegal,Randyll Tarly,{'weight': 2}
Rhaegal,Missandei,{'weight': 11}
Rhaegal,Three-Eyed Raven,{'weight': 1}
Rhaegal,Tyene Sand,{'weight': 1}
Rhaegal,Sandor Clegane,{'weight': 4}
Rhaegal,Balon Greyjoy,{'weight': 1}
Rhaegal,Varys,{'weight': 8}
Rhaegal,Arya Stark,{'weight': 5}
Rhaegal,Qyburn,{'weight': 2}
Rhaegal,Rickard Stark,{'weight': 1}
Rhaegal,Mirri Maz Duur,{'weight': 1}
Rhaegal,Jon Snow,{'weight': 6}
Rhaegal,Summer,{'weight': 1}
Rhaegal,Tommen Baratheon,{'weight': 1}
Rhaegal,Joffrey Baratheon,{'weight': 3}
Rhaegal,Gregor Clegane,{'weight': 1}
Rhaegal,Ned Umber,{'weight': 1}
Rhaegal,Bronn,{'weight': 1}
Rhaegal,Wildling Rioter,{'weight': 2}
Rhaegal,Gendry,{'weight': 2}
Janos Slynt,Dontos Hollard,{'weight': 1}
Janos Slynt,Gregor Clegane,{'weight': 1}
Janos Slynt,Catelyn Stark,{'weight': 2}
Janos Slynt,Mhaegen,{'weight': 1}
Janos Slynt,Stannis Baratheon,{'weight': 3}
Janos Slynt,Joffrey Baratheon,{'weight': 6}
Janos Slynt,Eddison Tollett,{'weight': 2}
Janos Slynt,Varys,{'weight': 3}
Janos Slynt,Tywin Lannister,{'weight': 1}
