name,ConnectedTwo
Steelshanks Walton,"[(('season3', 'The_Bear_and_the_Maiden_Fair_(episode)', 'At Harrenhal'), {'Jaime Lannister', 'Robb Stark', 'Roose Bolton', 'Catelyn Stark', 'Steelshanks Walton', 'The Bear', 'Locke', 'Qyburn', 'Tywin Lannister'})]"
Stevron Frey,[]
Stiv,"[(('season1', 'A_Golden_Crown', 'In the North'), {'Robb Stark', 'Theon Greyjoy', 'Three-Eyed Raven', 'Tyrion Lannister', 'Eddard Stark', 'Hodor', 'Mord', 'Ros', 'Stiv', 'Osha', 'Jory Cassel', 'Bran Stark'})]"
Styr,"[(('season4', 'Breaker_of_Chains', 'At the Wall and the North'), {'Samwell Tarly', 'Gilly', 'Mance Rayder', 'Karl Tanner', 'Grenn', 'Baby Sam', 'Eddison Tollett', 'Tormund Giantsbane', 'Thenn Warg', 'Rast', 'Styr', 'Craster'}), (('season4', 'Two_Swords', 'In the North'), {'Ygritte', 'Jon Snow', 'Tormund Giantsbane', 'Thenn Warg', 'Styr'}), (('season4', 'The_Watchers_on_the_Wall', 'At the Wall'), {'Alliser Thorne', 'Samwell Tarly', 'Gilly', 'Janos Slynt', 'Mance Rayder', 'Grenn', 'Baby Sam', 'Pypar', 'Eddison Tollett', 'Maester Aemon', 'Ygritte', 'Olly', 'Mag the Mighty', 'Jon Snow', 'Tormund Giantsbane', 'Jeor Mormont', 'Styr', 'Thenn Warg'}), (('season4', 'The_Mountain_and_the_Viper', 'In the North'), {'Gilly', 'Theon Greyjoy', 'Roose Bolton', 'Ramsay Snow/Bolton', 'Ygritte', 'Tormund Giantsbane', 'Styr'})]"
Summer,"[(('season1', 'Winter_Is_Coming', 'In the North'), {'Rickon Stark', 'Jaime Lannister', 'Robb Stark', 'Joffrey Baratheon', 'Grey Wind', 'Lysa Arryn', 'Cersei Lannister', 'Robert Baratheon', 'Maester Luwin', 'Rodrik Cassel', 'Shaggydog', 'Sansa Stark', 'Jory Cassel', 'Benjen Stark', 'Ned Umber', 'Eddard Stark', 'Catelyn Stark', 'Ros', 'Summer', 'Nymeria', 'Bran Stark', 'Rhaegar Targaryen', 'Lyanna Stark', 'Theon Greyjoy', 'Will', 'Tyrion Lannister', 'Jon Arryn', 'Jon Snow', 'Arya Stark'}), (('season1', 'Cripples,_Bastards,_and_Broken_Things', 'In the North'), {'Balon Greyjoy', 'Yoren', 'Robb Stark', 'Theon Greyjoy', 'Tyrion Lannister', 'Hodor', 'Catelyn Stark', 'Ros', 'Summer', 'Bran Stark'}), (('season2', 'What_Is_Dead_May_Never_Die', 'At Winterfell'), {'Summer', 'Maester Luwin', 'Bran Stark', 'Hodor'}), (('season2', 'The_North_Remembers', 'At Winterfell'), {'Robb Stark', 'Maester Luwin', 'Hodor', 'Summer', 'Osha', 'Bran Stark'}), (('season2', 'The_Old_Gods_and_the_New', 'At Winterfell'), {'Rickon Stark', 'Theon Greyjoy', 'Dagmer Cleftjaw', 'Maester Luwin', 'Hodor', 'Rodrik Cassel', 'Summer', 'Shaggydog', 'Osha', 'Bran Stark'}), (('season3', 'Dark_Wings,_Dark_Words', 'In the North'), {'Rickon Stark', 'Robb Stark', 'Three-Eyed Raven', 'Eddard Stark', 'Hodor', 'Summer', 'Shaggydog', 'Howland Reed', 'Jojen Reed', 'Meera Reed', 'Osha', 'Bran Stark'}), (('season3', 'The_Rains_of_Castamere_(episode)', 'In the Gift'), {'Rickon Stark', 'Robb Stark', 'Three-Eyed Raven', 'Ygritte', 'Hodor', 'Summer', 'Jon Snow', 'Shaggydog', 'Orell', 'Tormund Giantsbane', 'Jojen Reed', 'Meera Reed', 'Osha', 'Bran Stark', 'Wildling Rioter'}), (('season4', 'Oathkeeper_(episode)', 'In Meereen'), {'Meereen Slave Master', 'Grey Worm', 'Missandei', 'Summer', 'Daenerys Targaryen', 'Dany'}), (('season4', 'Oathkeeper_(episode)', 'Beyond the Wall'), {'Rast', 'Karl Tanner', 'Hodor', 'Summer', 'Jojen Reed', 'Jeor Mormont', 'Meera Reed', 'Bran Stark', 'Craster'}), (('season4', 'The_Lion_and_the_Rose', 'Beyond the Wall'), {'Three-Eyed Raven', 'Hodor', 'Summer', 'Jojen Reed', 'Meera Reed', 'Bran Stark'}), (('season4', 'The_Children', 'At the Wall, and Beyond'), {'Three-Eyed Raven', 'Baby Sam', 'Wight Wildling Girl', 'Qhorin Halfhand', 'Hodor', 'Melisandre', 'Stannis Baratheon', 'Jojen Reed', 'Meera Reed', 'Davos Seaworth', 'Ned Umber', 'Ygritte', 'Eddard Stark', 'Mag the Mighty', 'Summer', 'Bran Stark', 'Samwell Tarly', 'Mance Rayder', 'Grenn', 'Shireen Baratheon', 'Jon Snow', 'Tormund Giantsbane', 'Maester Aemon'}), (('Season_8', 'The_Iron_Throne', 'Queen of the ashes'), {'Jaime Lannister', 'Joffrey Baratheon', 'Varys', 'Rhaegal', 'Dany', 'Cersei Lannister', 'Tywin Lannister', 'Drogon', 'Missandei', 'Khal Drogo', 'Daenerys Targaryen', 'Sansa Stark', 'Aegon Targaryen', 'Davos Seaworth', 'Summer', 'Tyrion Lannister', 'Grey Worm', 'Maester Aemon', 'Arya Stark'}), (('Season_7', 'The_Spoils_of_War', 'At Winterfell'), {'Rickon Stark', 'Three-Eyed Raven', 'Joffrey Baratheon', 'Varys', 'Hodor', 'Cersei Lannister', 'Robert Baratheon', 'Podrick Payne', 'Littlefinger', 'Brienne of Tarth', 'Faceless Man', 'Maester Luwin', 'Rodrik Cassel', 'Sansa Stark', 'Jojen Reed', 'Meera Reed', 'Ned Umber', 'Catelyn Stark', 'Summer', 'Syrio Forel', 'Bran Stark', 'Maester Wolkan', 'Arya Stark'}), (('Season_6', 'The_Door', 'Beyond the Wall'), {'The Night King', 'Three-Eyed Raven', 'Leaf', 'Wight Wildling Girl', 'Hodor', 'Summer', 'Meera Reed', 'Bran Stark', 'Rickard Stark'})]"
Syrio Forel,"[(('season1', 'Lord_Snow', ""In King's Landing""), {'Barristan Selmy', 'Jaime Lannister', 'Renly Baratheon', 'Joffrey Baratheon', 'Varys', 'Cersei Lannister', 'Tywin Lannister', 'Littlefinger', 'Rodrik Cassel', 'Sansa Stark', 'Aerys II Targaryen', 'Kevan Lannister', 'Eddard Stark', 'Grand Maester Pycelle', 'Catelyn Stark', 'Syrio Forel', 'Petyr Baelish', 'Bran Stark', 'Lord Varys', 'Tyrion Lannister', 'Arya Stark'}), (('season1', 'Cripples,_Bastards,_and_Broken_Things', ""In King's Landing""), {'Jaime Lannister', 'Joffrey Baratheon', 'Brandon Stark', 'Gendry', 'Mord', 'Cersei Lannister', 'Balon Greyjoy', 'Sandor Clegane', 'Littlefinger', 'Sansa Stark', 'Tobho Mott', 'Jory Cassel', 'Hugh of the Vale', 'Septa Mordane', 'Eddard Stark', 'Grand Maester Pycelle', 'Syrio Forel', 'Petyr Baelish', 'Gregor Clegane', 'Bran Stark', 'Janos Slynt', 'Theon Greyjoy', 'Jon Arryn', 'Arya Stark'}), (('season1', 'A_Golden_Crown', 'In the Crownlands'), {'Barristan Selmy', 'Jaime Lannister', 'Renly Baratheon', 'Joffrey Baratheon', 'Cersei Lannister', 'Robert Baratheon', 'Tywin Lannister', 'Littlefinger', 'Sansa Stark', 'Beric Dondarrion', 'Jory Cassel', 'The Mountain', 'Eddard Stark', 'Grand Maester Pycelle', 'Catelyn Stark', 'Syrio Forel', 'Petyr Baelish', 'Gregor Clegane', 'Tyrion Lannister', 'Jon Arryn', 'Lancel Lannister', 'Arya Stark'}), (('season1', 'The_Pointy_End', ""In King's Landing""), {'Barristan Selmy', 'Jaime Lannister', 'Robb Stark', 'Joffrey Baratheon', 'Varys', 'Mord', 'Cersei Lannister', 'Robert Baratheon', 'Sandor Clegane', 'Littlefinger', 'Sansa Stark', 'Septa Mordane', 'Eddard Stark', 'Grand Maester Pycelle', 'Catelyn Stark', 'Syrio Forel', 'Meryn Trant', 'Janos Slynt', 'Tyrion Lannister', 'Arya Stark'}), (('season4', 'First_of_His_Name', 'In the Vale of Arryn'), {'Sandor Clegane', 'Robin Arryn', 'Septon', 'Tyrion Lannister', 'Brandon Stark', 'Catelyn Stark', 'Petyr Baelish', 'Sansa Stark', 'Syrio Forel', 'Lysa Arryn', 'Bran Stark', 'Arya Stark', 'Meryn Trant'}), (('season5', 'Mother%27s_Mercy', 'In Braavos'), {'The Waif', 'Syrio Forel', 'Arya Stark', 'Meryn Trant'}), (('season5', 'The_Dance_of_Dragons', 'In Braavos'), {'Mace Tyrell', 'Tycho Nestoris', 'Faceless Man', 'Thin Man', 'Lhara', 'Syrio Forel', 'Cersei Lannister', 'Arya Stark', 'Meryn Trant'}), (('Season_7', 'The_Spoils_of_War', 'At Winterfell'), {'Rickon Stark', 'Three-Eyed Raven', 'Joffrey Baratheon', 'Varys', 'Hodor', 'Cersei Lannister', 'Robert Baratheon', 'Podrick Payne', 'Littlefinger', 'Brienne of Tarth', 'Faceless Man', 'Maester Luwin', 'Rodrik Cassel', 'Sansa Stark', 'Jojen Reed', 'Meera Reed', 'Ned Umber', 'Catelyn Stark', 'Summer', 'Syrio Forel', 'Bran Stark', 'Maester Wolkan', 'Arya Stark'})]"
Talisa Maegyr,"[(('season2', 'A_Man_Without_Honor', 'In the Westerlands'), {'Jaime Lannister', 'Robb Stark', 'Eddard Stark', 'Alton Lannister', 'Talisa Maegyr', 'Catelyn Stark', 'Rickard Karstark', 'Cersei Lannister'}), (('season2', 'The_Old_Gods_and_the_New', 'In the Westerlands'), {'Robb Stark', 'Roose Bolton', 'Theon Greyjoy', 'Ramsay Snow/Bolton', 'Brienne of Tarth', 'Talisa Maegyr', 'Catelyn Stark'}), (('season2', 'Garden_of_Bones_(episode)', 'At Oxcross'), {'Robb Stark', 'Roose Bolton', 'Joffrey Baratheon', 'Grey Wind', 'Talisa Maegyr', 'Sansa Stark', 'Cersei Lannister', 'Arya Stark', 'Tywin Lannister'}), (('season2', 'Valar_Morghulis', 'In the Westerlands'), {'Jaime Lannister', 'Robb Stark', 'Brienne of Tarth', 'Talisa Maegyr', 'Catelyn Stark'}), (('season2', 'The_Prince_of_Winterfell', 'In the Westerlands'), {'Jaime Lannister', 'Robb Stark', 'Roose Bolton', 'Theon Greyjoy', 'Talisa Maegyr', 'Catelyn Stark'}), (('season3', 'Dark_Wings,_Dark_Words', 'In the Riverlands'), {'Rickon Stark', 'Jaime Lannister', 'Robb Stark', 'Renly Baratheon', 'Thoros of Myr', 'Joffrey Baratheon', 'Gendry', 'Talisa Maegyr', 'Rickard Karstark', 'Locke', 'Tywin Lannister', 'Sandor Clegane', 'Roose Bolton', 'Ramsay Snow/Bolton', 'Maester Luwin', 'Stannis Baratheon', 'Sansa Stark', 'Tobho Mott', 'Hoster Tully', 'Edmure Tully', 'Eddard Stark', 'Hot Pie', 'Catelyn Stark', 'Loras Tyrell', 'Bran Stark', 'Theon Greyjoy', 'Jon Snow', 'Arya Stark'}), (('season3', 'Walk_of_Punishment_(episode)', 'At Riverrun'), {'Rickon Stark', 'Robb Stark', 'Will', 'Bran Stark', 'Martyn Lannister', 'Edmure Tully', 'Brynden Tully', 'Talisa Maegyr', 'Catelyn Stark', 'Gregor Clegane', 'Hoster Tully', 'Willem Lannister', 'Tywin Lannister'}), (('season3', 'Kissed_by_Fire', 'In the Riverlands'), {'Jaime Lannister', 'Karl Tanner', 'Renly Baratheon', 'Citadel Maester', 'Robb Stark', 'Martyn Lannister', 'Thoros of Myr', 'Walder Frey', 'Varys', 'Gendry', 'Talisa Maegyr', 'Rickard Karstark', 'Locke', 'Cersei Lannister', 'Anguy', 'Willem Lannister', 'Tywin Lannister', 'Sandor Clegane', 'Roose Bolton', 'Brienne of Tarth', 'Stannis Baratheon', 'Beric Dondarrion', 'Tobho Mott', 'Yoren', 'Aerys II Targaryen', 'Edmure Tully', 'Eddard Stark', 'Grand Maester Pycelle', 'Catelyn Stark', 'Will', 'Brynden Tully', 'Qyburn', 'Arya Stark'}), (('season3', 'The_Bear_and_the_Maiden_Fair_(episode)', 'In the Riverlands'), {'Sandor Clegane', 'Robb Stark', 'Walder Frey', 'Edmure Tully', 'Gendry', 'Talisa Maegyr', 'Catelyn Stark', 'Arya Stark'}), (('season3', 'The_Rains_of_Castamere_(episode)', 'At the Twins'), {'Sandor Clegane', 'Robb Stark', 'Roose Bolton', 'Walder Frey', 'Joyeuse Erenford', 'Edmure Tully', 'Brynden Tully', 'Grey Wind', 'Roslin Frey', 'Talisa Maegyr', 'Catelyn Stark', 'Ros', 'Lothar Frey', 'Black Walder Rivers', 'Arya Stark'}), (('Season_7', 'Dragonstone_(episode)', 'In the Riverlands'), {'Sandor Clegane', 'Robb Stark', 'Walder Frey', 'Talisa Maegyr', 'Catelyn Stark', 'Beric Dondarrion', 'Kitty Frey', 'Arya Stark'})]"
Talla Tarly,"[(('Season_6', 'Blood_of_My_Blood', 'At Horn Hill'), {'Talla Tarly', 'Gilly', 'Melessa Tarly', 'Baby Sam', 'Randyll Tarly', 'Jon Snow', 'Dickon Tarly'})]"
Ternesio Terys,"[(('season5', 'The_House_of_Black_and_White', 'In Braavos'), {'Ternesio Terys', 'Arya Stark'})]"
The Bear,"[(('season3', 'Walk_of_Punishment_(episode)', 'In the Riverlands'), {'Sandor Clegane', 'Jaime Lannister', 'Ned Umber', 'Renly Baratheon', 'Brienne of Tarth', 'Gendry', 'Hot Pie', 'The Bear', 'Locke', 'Arya Stark', 'Tywin Lannister'}), (('season3', 'The_Bear_and_the_Maiden_Fair_(episode)', 'At Harrenhal'), {'Jaime Lannister', 'Robb Stark', 'Roose Bolton', 'Catelyn Stark', 'Steelshanks Walton', 'The Bear', 'Locke', 'Qyburn', 'Tywin Lannister'})]"
The Night King,"[(('season5', 'Hardhome_(episode)', 'At Hardhome'), {'Mance Rayder', 'The Night King', 'Wun Wun', 'Eddison Tollett', 'Loboda', 'Stannis Baratheon', 'Wight Wildling Girl', 'Karsi', 'Jon Snow', 'Tormund Giantsbane', 'Thenn Warg', 'Wildling Rioter'}), (('Season_8', 'The_Long_Night', 'The battle'), {'Melisandre', 'Samwell Tarly', 'The Night King', 'Viserion', 'Drogon', 'Baby Sam', 'Rhaegal', 'Grey Worm', 'Jon Snow', 'Daenerys Targaryen', 'Khal Drogo', 'Bran Stark', 'Arya Stark'}), (('Season_8', 'The_Long_Night', 'The siege'), {'Jaime Lannister', 'Three-Eyed Raven', 'Baby Sam', 'Varys', 'Rhaegal', 'Sandor Clegane', 'Jorah Mormont', 'Missandei', 'Daenerys Targaryen', 'Beric Dondarrion', 'Sansa Stark', 'Viserion', 'Bran Stark', 'Samwell Tarly', 'The Night King', 'Theon Greyjoy', 'Tyrion Lannister', 'Lyanna Mormont', 'Arya Stark'}), (('Season_8', 'The_Long_Night', 'Reinforcements'), {'The Night King', 'Viserion', 'Jorah Mormont', 'Drogon', 'Tyrion Lannister', 'Khal Drogo', 'Lyanna Mormont', 'Daenerys Targaryen', 'Sansa Stark', 'Qhono'}), (('Season_8', 'The_Long_Night', 'Final confrontation'), {'Melisandre', 'Davos Seaworth', 'The Night King', 'Theon Greyjoy', 'Three-Eyed Raven', 'Drogon', 'Jorah Mormont', 'Viserion', 'Tyrion Lannister', 'Wight Wildling Girl', 'Alys Karstark', 'Jon Snow', 'Daenerys Targaryen', 'Khal Drogo', 'Sansa Stark', 'Bran Stark', 'Arya Stark'}), (('Season_6', 'The_Door', 'Beyond the Wall'), {'The Night King', 'Three-Eyed Raven', 'Leaf', 'Wight Wildling Girl', 'Hodor', 'Summer', 'Meera Reed', 'Bran Stark', 'Rickard Stark'})]"
The Tickler,"[(('season2', 'The_Ghost_of_Harrenhal', 'At Harrenhal'), {'Robb Stark', 'The Tickler', 'Gregor Clegane', 'Arya Stark', 'Tywin Lannister'}), (('season2', 'Garden_of_Bones_(episode)', 'At Harrenhal'), {'Amory Lorch', 'Eddard Stark', 'Gendry', 'Hot Pie', 'The Tickler', 'Gregor Clegane', 'Arya Stark', 'Tywin Lannister'})]"
The Waif,"[(('season5', 'High_Sparrow_(episode)', 'In Braavos'), {'The Waif', 'Arya Stark'}), (('season5', 'Mother%27s_Mercy', 'In Braavos'), {'The Waif', 'Syrio Forel', 'Arya Stark', 'Meryn Trant'}), (('season5', 'Unbowed,_Unbent,_Unbroken', 'In Braavos'), {'Faceless Man', 'The Waif', 'Arya Stark'}), (('Season_6', 'The_Red_Woman', 'In Braavos'), {'The Waif', 'Arya Stark'}), (('Season_6', 'Home', 'In Braavos'), {'Faceless Man', 'The Waif', 'Arya Stark'}), (('Season_6', 'Oathbreaker', 'In Braavos'), {'The Waif', 'Walder Frey', 'Cersei Lannister', 'Gregor Clegane', 'Arya Stark'}), (('Season_6', 'The_Door', 'In Braavos'), {'The Waif', 'Faceless Man', 'Eddard Stark', 'Lady Crane', 'Sansa Stark', 'Cersei Lannister', 'Bianca', 'Arya Stark'}), (('Season_6', 'No_One', 'In Braavos'), {'The Waif', 'Faceless Man', 'Joffrey Baratheon', 'Lady Crane', 'Cersei Lannister', 'Bianca', 'Arya Stark'})]"
Thenn Warg,"[(('season3', 'Kissed_by_Fire', 'Beyond the Wall'), {'Mance Rayder', 'Ygritte', 'Jon Snow', 'Tormund Giantsbane', 'Thenn Warg', 'Orell'}), (('season4', 'Breaker_of_Chains', 'At the Wall and the North'), {'Samwell Tarly', 'Gilly', 'Mance Rayder', 'Karl Tanner', 'Grenn', 'Baby Sam', 'Eddison Tollett', 'Tormund Giantsbane', 'Thenn Warg', 'Rast', 'Styr', 'Craster'}), (('season4', 'Two_Swords', 'In the North'), {'Ygritte', 'Jon Snow', 'Tormund Giantsbane', 'Thenn Warg', 'Styr'}), (('season4', 'The_Watchers_on_the_Wall', 'At the Wall'), {'Alliser Thorne', 'Samwell Tarly', 'Gilly', 'Janos Slynt', 'Mance Rayder', 'Grenn', 'Baby Sam', 'Pypar', 'Eddison Tollett', 'Maester Aemon', 'Ygritte', 'Olly', 'Mag the Mighty', 'Jon Snow', 'Tormund Giantsbane', 'Jeor Mormont', 'Styr', 'Thenn Warg'}), (('season5', 'Hardhome_(episode)', 'At Hardhome'), {'Mance Rayder', 'The Night King', 'Wun Wun', 'Eddison Tollett', 'Loboda', 'Stannis Baratheon', 'Wight Wildling Girl', 'Karsi', 'Jon Snow', 'Tormund Giantsbane', 'Thenn Warg', 'Wildling Rioter'})]"
